1994_195.txt-Art. 219.;Co jeśli dwie topografie są identyczne?;1. Uprawniony nie może dochodzić swoich praw w odniesieniu do innej identycznej topografii, jeżeli została ona stworzona niezależnie przez osobę trzecią. 2. Jeżeli dwie topografie są identyczne w całości lub części, domniemywa się, że topografia, która mogła być reprodukcją topografii wcześniej zgłoszonej w Urzędzie Patentowym lub wcześniej jawnie wprowadzonej do obrotu jest jej reprodukcją. 
1997_555.txt-Art. 237.;Kto posiada prawo odtwarzania zapisów telefonicznych?;§ 1. Po wszczęciu postępowania sąd na wniosek prokuratora może zarządzić kontrolę i utrwalanie treści rozmów telefonicznych w celu wykrycia i uzyskania dowodów dla toczącego się postępowania lub zapobieżenia popełnieniu nowego przestępstwa. § 2. W wypadkach nie cierpiących zwłoki kontrolę i utrwalanie rozmów telefonicznych może zarządzić prokurator, który jednak obowiązany jest uzyskać w ciągu 5 dni zatwierdzenie postanowienia przez sąd. § 3. Kontrola i utrwalanie treści rozmów telefonicznych są dopuszczalne tylko wtedy, gdy toczące się postępowanie lub uzasadniona obawa popełnienia nowego przestępstwa dotyczy: 1) zabójstwa, 2) narażenia na niebezpieczeństwo powszechne lub sprowadzenia katastrofy, 3) handlu ludźmi, 4) uprowadzenia osoby, 5) wymuszania okupu, 6) uprowadzenia statku powietrznego lub wodnego, 7) rozboju lub kradzieży rozbójniczej, 8) zamachu na niepodległość lub integralność państwa, 9) zamachu na konstytucyjny ustrój państwa lub jego naczelne organy, albo na jednostkę Sił Zbrojnych Rzeczypospolitej Polskiej, 10) szpiegostwa lub ujawnienia tajemnicy państwowej, 11) gromadzenia broni, materiałów wybuchowych lub radioaktywnych, 12) fałszowania pieniędzy, 13) handlu narkotykami, 14) zorganizowanej grupy przestępczej, 15) mienia znacznej wartości, 16) użycia przemocy lub groźby bezprawnej w związku z postępowaniem karnym. § 4. Kontrola i utrwalanie treści rozmów telefonicznych są dopuszczalne w stosunku do osoby podejrzanej, oskarżonego oraz w stosunku do pokrzywdzonego lub innej osoby, z którą może się kontaktować oskarżony albo która może mieć związek ze sprawcą lub z grożącym przestępstwem. § 5. Urzędy, instytucje oraz podmioty prowadzące działalność w dziedzinie poczty i telekomunikacji obowiązane są umożliwić wykonanie postanowienia sądu lub prokuratora w zakresie przeprowadzenia kontroli rozmów telefonicznych oraz zapewnić rejestrowanie faktu przeprowadzenia takiej kontroli. § 6. Prawo odtwarzania zapisów ma sąd lub prokurator, a w wypadkach nie cierpiących zwłoki, za zgodą sądu lub prokuratora, także Policja. § 7. Prawo zapoznawania się z rejestrem przeprowadzonych kontroli rozmów telefonicznych ma sąd, a w postępowaniu przygotowawczym - prokurator. 
1995_420.txt-Art. 31.;Jaki bank może pełnić rolę reprezentanta?;1. Funkcję banku - reprezentanta może pełnić wyłącznie bank, posiadający kapitał własny w wysokości nie niższej niż równowartość 10.000.000 ECU w walucie polskiej, utworzony w formie spółki akcyjnej lub bank państwowy. 2. Bankiem - reprezentantem w ramach danej emisji obligacji nie może być bank: 1) którego członkowie organów nadzoru lub zarządu są dłużnikami emitenta, 2) będący w stosunku do emitenta wprowadzającym papiery wartościowe do publicznego obrotu, w rozumieniu art. 2 pkt 2a ustawy, o której mowa w art. 9 ust. 2 lub oferującym w publicznym obrocie papiery wartościowe tego emitenta, 3) którego więcej niż 20% członków organów nadzoru lub zarządu pełni jednocześnie funkcje członka organu stanowiącego, nadzoru lub zarządu emitenta, 4) posiadający więcej niż 10% akcji lub udziałów emitenta lub podmiotu dominującego lub zależnego w stosunku do emitenta, 5) którego więcej niż 10% akcji lub udziałów jest łącznie w posiadaniu emitenta, członków jego organów stanowiących, nadzoru lub zarządu oraz któregokolwiek z właścicieli emitenta, albo gdy więcej niż 10% akcji lub udziałów podmiotu dominującego lub zależnego w stosunku do banku znajduje się w posiadaniu tych podmiotów lub osób. 3. Ograniczenia, o których mowa w ust. 2 pkt 5 nie mają zastosowania do posiadanych przez Skarb Państwa akcji lub udziałów: 1) emitenta, 2) banku - reprezentanta, 3) podmiotu dominującego lub zależnego w stosunku do podmiotów, określonych w pkt 1 i 2. 4. W przypadku wystąpienia okoliczności, o których mowa w ust. 2, bank - reprezentant zobowiązany jest w terminie 30 dni od ich wystąpienia do usunięcia powstałych przeszkód. Jeżeli usunięcie tych przeszkód nie jest możliwe, emitent powinien rozwiązać umowę o reprezentację w terminie nie dłuższym niż kolejne 60 dni, nie wcześniej jednak niż przed zawarciem umowy o reprezentację z nowym bankiem. 5. W terminie 60 dni od zawieszenia działalności banku - reprezentanta lub otwarcia jego likwidacji, emitent zobowiązany jest do zawarcia umowy o reprezentację z nowym bankiem. Do chwili zawarcia nowej umowy, obowiązki reprezentanta obligatariuszy pełni bank dotychczasowy. 
1998_577.txt-Art. 7.;Jakie role pełni wojewoda?;Wojewoda jest: 1) przedstawicielem Rady Ministrów w województwie, 2) zwierzchnikiem zespolonej administracji rządowej, 3) organem nadzoru nad jednostkami samorządu terytorialnego, 4) organem wyższego stopnia w rozumieniu przepisów o postępowaniu administracyjnym, 5) reprezentantem Skarbu Państwa, w zakresie i na zasadach określonych w odrębnych ustawach. 
2000_1186.txt-Art. 14. 1. Dziennik zawiera chronologiczne ujęcie zdarzeń, jakie nastąpiły;Jakie dane musi posiadać księga rachunkowa prowadzona elektronicznie?;w danym okresie sprawozdawczym. Bez względu na technikę prowadzenia ksiąg rachunkowych dziennik powinien umożliwiać uzgodnienie jego obrotów z obrotami zestawienia obrotów i sald kont księgi głównej. 2. Zapisy w dzienniku muszą być kolejno numerowane, a sumy zapisów (obroty) liczone w sposób ciągły. Sposób dokonywania zapisów w dzienniku powinien umożliwiać ich jednoznaczne powiązanie ze sprawdzonymi i zatwierdzonymi dowodami księgowymi. 3. Jeżeli stosuje się dzienniki częściowe, grupujące zdarzenia według ich rodzajów, to należy sporządzić zestawienie obrotów tych dzienników za dany okres sprawozdawczy. 4. Przy prowadzeniu ksiąg rachunkowych przy użyciu komputera zapis księgowy powinien posiadać automatycznie nadany numer pozycji, pod którą został wprowadzony do dziennika, a także dane pozwalające na ustalenie osoby odpowiedzialnej za treść zapisu. 
1997_714.txt-Art. 46.;Kiedy urząd skarbowy może obniżyć stawki ryczałtu osób duchownych?;"1. Urząd skarbowy właściwy według miejsca wykonywania funkcji o charakterze duszpasterskim, zwany dalej ""właściwym urzędem skarbowym"" wydaje decyzję ustalającą wysokość ryczałtu, odrębnie na każdy rok podatkowy. 2. Właściwy urząd skarbowy, na wniosek osoby duchownej, odpowiednio obniża stawki ryczałtu określone w załącznikach nr 5 i 6, jeżeli liczba wyznawców na danym terenie stanowi mniejszość w ogólnej liczbie mieszkańców. Osoba duchowna jest obowiązana dołączyć do wniosku oświadczenie o liczbie wyznawców. Przepis ust. 1 stosuje się odpowiednio. "
1998_577.txt-Art. 26.;Jakie są obowiązki wojewody?;Na zasadach określonych w ustawach wojewoda: 1) reprezentuje Skarb Państwa w odniesieniu do mienia powierzonego mu w celu wykonywania jego zadań, 2) wykonuje inne uprawnienia wynikające z reprezentowania Skarbu Państwa, 3) wykonuje uprawnienia i obowiązki organu założycielskiego wobec przedsiębiorstw państwowych do czasu przekazania tej funkcji ministrowi właściwemu do spraw Skarbu Państwa lub do czasu wygaśnięcia tych uprawnień i obowiązków z innych tytułów. Rozdział 3 Wojewódzka administracja zespolona 
1997_944.txt-Art. 69.;Co musi zawierać wniosek złożony przez rzecznika dyscyplinarnego?;1. Rzecznik dyscyplinarny po zakończeniu postępowania wyjaśniającego przedstawia przełożonemu dyscyplinarnemu, który wszczął postępowanie dyscyplinarne, sprawozdanie oraz wniosek. 2. Sprawozdanie powinno zawierać: 1) imię i nazwisko obwinionego, 2) dane dotyczące przebiegu służby obwinionego oraz jego wyróżnień i kar dyscyplinarnych, 3) określenie przewinienia dyscyplinarnego zarzucanego obwinionemu, ze wskazaniem czasu, miejsca, sposobu i okoliczności jego popełnienia oraz skutków, 4) wskazanie dowodów popełnienia przewinienia. 3. We wniosku zamieszcza się propozycję orzeczenia wraz z uzasadnieniem. 4. Przełożony dyscyplinarny może zwrócić rzecznikowi dyscyplinarnemu sprawozdanie i wniosek celem ich uzupełnienia lub przeprowadzenia dodatkowych czynności w postępowaniu wyjaśniającym. 
2002_1142.txt-Art. 7.;Co musi znajdować się w reklamie produktu korzystającego z energii?;1. W przypadku gdy dostawca lub dystrybutor reklamuje produkt wykorzystujący energię, w szczególności w postaci reklamy prasowej, elektronicznej, w programach radiowych lub telewizyjnych, lub w innych środkach komunikacji elektronicznej w rozumieniu ustawy z dnia 18 lipca 2002 r. o świadczeniu usług drogą elektroniczną (Dz. U. Nr 144, poz. 1204, z późn. zm.[4])), i zamieszcza w tej reklamie informacje o cenie tego produktu lub zużyciu przez niego energii, jest obowiązany zamieścić także informację o klasie efektywności energetycznej tego produktu. 2. Przez reklamowanie, o którym mowa w ust. 1, rozumie się informowanie o produkcie wykorzystującym energię lub zachęcanie do jego nabywania, mające na celu zwiększenie sprzedaży tego produktu. 
1996_113.txt-Art. 25.;Jakie są obowiązki zawodnika sportowego?;1. Podstawowymi obowiązkami zawodnika jest w szczególności: 1) reprezentowanie kraju w międzynarodowych zawodach sportowych, 2) aktywny udział w procesie szkoleniowym i we współzawodnictwie sportowym, 3) poddawanie się obowiązkowym badaniom lekarskim, 4) przestrzeganie regulaminów sportowych i zasad rywalizacji sportowej. 2. Szczegółowe prawa i obowiązki zawodnika, w tym status zawodnika amatora i zawodnika posiadającego status zawodnika profesjonalnego, określa właściwy polski związek sportowy. 3. W przypadku nie wykonywania obowiązków określonych w ust. 1, zawodnik może ponosić odpowiedzialność dyscyplinarną na zasadach określonych w niniejszej ustawie, statutach i regulaminach stowarzyszeń kultury fizycznej i związków sportowych oraz umowach o pracę. 4. Zasady organizacji współzawodnictwa sportowego oraz, z zastrzeżeniem art. 11 ust. 2, skład kadry narodowej w danej dyscyplinie lub dziedzinie sportowej ustala właściwy polski związek sportowy w porozumieniu z Prezesem Urzędu Kultury Fizycznej i Turystyki 5. Szkoła wyższa umożliwia studentowi, który jest zawodnikiem, uprawianie sportu bez konieczności przerywania studiów. Warunki i tryb odbywania studiów przez studenta będącego zawodnikiem, określają regulaminy studiów, ustalane zgodnie z odrębnymi przepisami. 
