question;passage_id;passage
Kto jest ubezpieczonymi na podstawie przepisów prawa?;2001_906.txt:Art.2;"Art. 2. Ubezpieczonymi na podstawie przepisów ustawy są osoby  posiadające obywatelstwo polskie i zamieszkujące na terytorium  Rzeczypospolitej Polskiej oraz cudzoziemcy przebywający na  terytorium Rzeczypospolitej Polskiej na podstawie karty stałego  pobytu lub karty czasowego pobytu wydanej im w związku z  udzieleniem statusu uchodźcy  jeżeli:  1) podlegają obowiązkowi ubezpieczenia zdrowotnego   2) ubezpieczają się dobrowolnie   3) są członkami rodziny osób  o których mowa w pkt 1 i 2.""; 3) art. 3 otrzymuje brzmienie:  """
Na czyj wniosek Rada Ministrów ustala cenę minimalną ziemniaków?;2001_83.txt:Art.11;Art. 11. 1. Rada Ministrów  na wniosek ministra właściwego do spraw rynków rolnych   ustala  w drodze rozporządzenia  cenę minimalną ziemniaków w terminie do 31  grudnia roku poprzedzającego przyszłoroczną kampanię produkcyjną. 2. Cenę minimalną za ziemniaki dostarczone do producenta skrobi na podstawie  zawartych umów o dostawę ziemniaków ustala się  mając na względzie zawartość  skrobi w ziemniakach  która nie może być niższa niż 13%.  
Do czego zobowiązane są organy Państwowej Straży Pożarnej w razie wystąpienia awarii przemysłowej?;2001_627.txt:Art.268;Art. 268. Właściwe organy Państwowej Straży Pożarnej w razie wystąpienia awarii przemysłowej są obowiązane do:  1) podjęcia działań operacyjno-ratowniczych we współpracy z prowadzącym  zakład   2) zebrania informacji niezbędnych do dokonania analizy awarii i  sformułowania zaleceń dla prowadzącego zakład   3) sprawdzenia  czy prowadzący zakład podjął wszystkie konieczne środki  zaradcze   4) opracowania zaleceń dotyczących zastosowania w przyszłości określonych  środków zapobiegawczych   5) sprawdzenia  czy prowadzący zakład wdrożył zalecenia właściwego organu  Państwowej Straży Pożarnej.  
Co ogłasza się w Biuletynie Zamówień Publicznych?;1994_344.txt:Art.11;Art. 11.  1. Ogłoszenia o zamówieniach publicznych przewidziane w ustawie ogłasza się w Biuletynie Zamówień Publicznych wydawanym przez Prezesa Urzędu.  2. Prezes Urzędu może ustanowić  w drodze zarządzenia  regionalne lub branżowe  wydania Biuletynu  o którym mowa w ust. 1  oraz określić ich zakres   zasięg i warunki publikacji ogłoszeń.  
Co to jest dzień bilansowy?;1994_591.txt:Art.3;Art. 3.  1. Ilekroć w ustawie jest mowa o:  1) jednostce - rozumie się przez to podmioty określone w art. 2 ust. 1   2) banku - rozumie się przez to jednostkę działającą na podstawie przepisów  prawa bankowego   3) ubezpieczycielu - rozumie się przez to jednostkę prowadzącą działalność  ubezpieczeniową na podstawie przepisów o działalności ubezpieczeniowej   4) jednostce dominującej - rozumie się przez to spółkę akcyjną  spółkę z ograniczoną odpowiedzialnością lub inną spółkę kapitałową:  a) posiadającą większość całkowitej liczby głosów w organach innej jednostki (zależnej)  także na podstawie porozumień z innymi uprawnionymi do głosu  lub  b) uprawnioną do podejmowania decyzji o polityce finansowej i bieżącej  działalności gospodarczej tej innej jednostki (zależnej) na podstawie ustawy  statutu lub umowy  lub  c) jako akcjonariusz lub udziałowiec jest uprawniona do powoływania  albo odwoływania większości członków organów zarządzających  lub nadzorczych innej jednostki (zależnej)  lub  d) której członkowie zarządu lub osoby pełniące funkcje kierownicze   albo członkowie zarządu bądź osoby pełniące te funkcje kierownicze  w jednostce zależnej  stanowią jednocześnie więcej niż połowę składu zarządu drugiej jednostki zależnej   e) posiadającą w innej jednostce (stowarzyszonej) nie mniej niż 20% i nie więcej niż 50% głosów na walnym zgromadzeniu wspólników lub akcjonariuszy   f) w inny sposób  niż określony w lit. e) wywierającą znaczny wpływ na politykę finansową i bieżącą działalność gospodarczą innej jednostki  (stowarzyszonej)   5) kierowniku jednostki - rozumie się przez to osobę lub organ wieloosobowy  (zarząd)  który - zgodnie z obowiązującymi jednostkę przepisami prawa  statutem  umową lub na mocy prawa własności - uprawniony jest do zarządzania jednostką  z wyłączeniem pełnomocników ustanowionych  przez jednostkę. W przypadku spółek komandytowych  spółek jawnych i spółek cywilnych oraz osób fizycznych za kierownika jednostki uważa się ich właściciela lub właścicieli. Za kierownika jednostki uważa się również likwidatora lub syndyka   6) biegłym rewidencie - rozumie się przez to osoby fizyczne  spółki jawne  spółki komandytowe  spółki cywilne i osoby prawne  uprawnione na podstawie odrębnych przepisów do badania sprawozdań finansowych w trybie przewidzianym ustawą   7) księgach rachunkowych - rozumie się przez to dziennik oraz zbiory utrwalonych na papierze zapisów dokonanych na kontach prowadzonych  w postaci ksiąg  rejestrów lub luźnych kart  albo przenoszonych z komputerowych nośników danych  uzgodnione za pomocą zestawienia obrotów i sald lub tylko sald i uzupełnione o wykaz składników aktywów  i pasywów (inwentarz)   8) roku obrotowym - rozumie się przez to rok kalendarzowy  chyba że przepisy prawa  statut lub umowa jednostki przewidują inny okres trwający  12 kolejnych miesięcy kalendarzowych  stosowany również do celów  podatkowych. Jeżeli jednostka rozpoczęła działalność w drugiej połowie  roku kalendarzowego  to można księgi rachunkowe i sprawozdanie  finansowe za ten okres połączyć z księgami rachunkowymi i sprawozdaniem  finansowym za rok następny   9) dzień bilansowy - rozumie się przez to dzień  na który jednostka sporządza  sprawozdanie finansowe   10) organie zatwierdzającym - rozumie się przez to organ  który zgodnie z obowiązującymi jednostkę przepisami prawa  statutem  umową lub na mocy prawa własności jest uprawniony do zatwierdzania sprawozdania finansowego jednostki. W przypadku spółek komandytowych  spółek jawnych  spółek cywilnych oraz osób fizycznych przez organ zatwierdzający  rozumie się ich właściciela lub właścicieli   11) środkach trwałych - rozumie się przez to stanowiące własność lub współwłasność jednostki nieruchomości (grunty  budynki  w tym także będące odrębną własnością lokale  budowle i inwestycje w obcych obiektach)   maszyny  urządzenia  środki transportu oraz inne kompletne i zdatne do użytku w momencie przyjęcia do używania przedmioty  a także inwentarz żywy o przewidywanym okresie używania dłuższym niż rok  przeznaczone na własne potrzeby jednostki lub do oddania w używanie  na podstawie umowy najmu  dzierżawy lub innej umowy o podobnym  charakterze. Do środków trwałych jednostki zalicza się również obce środki trwałe używane przez nią na podstawie umowy najmu  dzierżawy lub innej umowy o podobnym charakterze  jeżeli z innych przepisów wynika prawo dokonywania od nich odpisów amortyzacyjnych  (umorzeniowych) przez korzystającą z tych środków jednostkę   12) inwestycjach rozpoczętych - rozumie się przez to ogół poniesionych kosztów  pozostających w bezpośrednim związku z nie zakończoną jeszcze: budową  montażem lub przekazaniem do używania nowego lub ulepszeniem  już istniejącego środka trwałego   13) wartościach niematerialnych i prawnych - rozumie się przez to nabyte przez jednostkę prawa majątkowe nadające się do gospodarczego wykorzystania   a w szczególności prawo użytkowania wieczystego gruntu (w tym również nadwyżkę pierwszej opłaty nad roczną opłatą)  spółdzielcze  własnościowe prawo do lokalu  prawa autorskie  prawa do projektów   wynalazków  patentów  znaków towarowych  wzorów zdobniczych   licencji oraz programy komputerowe o przewidywanym okresie używania dłuższym niż rok  przeznaczone na własne potrzeby jednostki lub do oddania do używania na podstawie umowy najmu. Do wartości niematerialnych i prawnych zalicza się również koszty organizacji poniesione  przy założeniu lub późniejszym rozszerzeniu spółki akcyjnej  wartość  firmy oraz koszty zakończonych prac rozwojowych  przez które rozumie  się badania lub w inny sposób uzyskiwaną wiedzę  których wynik może być wykorzystany do produkcji nowych lub ulepszonych  określonych  produktów lub technologii   14) rzeczowych składnikach majątku obrotowego - rozumie się przez to nabyte w celu zużycia na własne potrzeby materiały  wytworzone lub przetworzone przez jednostkę produkty: gotowe (wyroby  usługi i roboty)  zdatne do sprzedaży  w toku produkcji bądź półprodukty oraz towary  nabyte celem odsprzedaży w stanie nie przetworzonym   15) środkach pieniężnych - rozumie się przez to pieniądze (banknoty i monety)  oraz jednostki pieniężne (rozrachunkowe) krajowe i zagraniczne  tak w gotówce  jak i na rachunku bankowym lub w formie lokaty pieniężnej   czeki i weksle obce  jeżeli są one płatne w ciągu 3 miesięcy od daty ich wystawienia  oraz metale szlachetne  jeżeli nie są zaliczane do rzeczowych składników majątku obrotowego   16) dłużnych papierach wartościowych - rozumie się przez to papiery wartościowe  reprezentujące wierzytelności pieniężne na sumy oznaczone  płatne we wskazanych terminach  a w szczególności obligacje oraz bony skarbowe  jak również papiery wartościowe reprezentujące wierzytelności  pieniężne uwarunkowane przez zaistnienie zdarzeń losowych  między  innymi - losy loteryjne  polisy ubezpieczeniowe.  17) należnościach zagrożonych - rozumie się przez to należności banku  zakwalifikowane  do należności o pogorszonej jakości na podstawie odrębnych  przepisów   18) należnościach lub zobowiązaniach krótkoterminowych - rozumie się przez to należności lub zobowiązania  których okres spłaty na dzień bilansowy  jest nie dłuższy niż rok   19) należnościach lub zobowiązaniach długoterminowych - rozumie się przez to należności lub zobowiązania  których okres spłaty na dzień bilansowy  jest dłuższy niż rok   20) pozostałych kosztach lub przychodach operacyjnych - rozumie się przez to koszty i przychody nie związane bezpośrednio ze zwykłą działalnością  jednostki  a w szczególności koszty i przychody spowodowane sprzedażą   likwidacją lub nieplanowymi odpisami amortyzacyjnymi (umorzeniowymi)  środków trwałych  odpisaniem inwestycji  które nie dały zamierzonego  efektu gospodarczego  likwidacją wartości niematerialnych i prawnych  odpisaniem należności i zobowiązań przedawnionych  umorzonych   nieściągalnych  utworzeniem i rozwiązaniem rezerw  z wyjątkiem  dotyczących operacji finansowych  odpisami aktualizującymi wartość  zapasów rzeczowych składników majątku obrotowego  zapłatą lub otrzymaniem odszkodowań  kar i grzywien  otrzymaniem lub przekazaniem  darowizn oraz otrzymaniem dotacji  subwencji i dopłat na inne cele  niż nabycie lub wytworzenie środków trwałych  albo wykonanie prac rozwojowych   21) stratach i zyskach nadzwyczajnych - rozumie się przez to skutki finansowe  zdarzeń powstających niepowtarzalnie  poza zwykłą działalnością jednostki  a w szczególności spowodowanych zdarzeniami losowymi  zaniechaniem  lub zawieszeniem pewnego rodzaju działalności (w tym również  istotną zmianą metod produkcji lub sprzedażą zorganizowanej części jednostki) oraz postępowaniem układowym lub naprawczym   22) walutach obcych - rozumie się przez to waluty obcych państw oraz międzynarodowe jednostki rozliczeniowe ustanowione na podstawie umów międzynarodowych.  2. Wyrażone w ECU wielkości przelicza się na walutę polską po średnim kursie  ustalonym przez Prezesa Narodowego Banku Polskiego  obowiązującym  na dzień bilansowy.  
W jakim terminie środki Biura Hydrograficznego podlegają przekazaniu;1995_31.txt:Art.2;Art. 2.  1. Środki osobowe  rzeczowe i finansowe Biura Hydrograficznego Rzeczypospolitej  Polskiej podlegają przekazaniu urzędom morskim w terminie 3 miesięcy od dnia wejścia w życie ustawy.  2. Minister Transportu i Gospodarki Morskiej określi  w drodze zarządzenia  zakres i tryb przekazania środków  o których mowa w ust. 1.  
Kto może emitować obligacje?;1995_420.txt:Art.2;"Art. 2.  1. Obligacje mogą emitować:  1) podmioty prowadzące działalność gospodarczą  posiadające osobowość prawną   2) gminy  związki międzygminne (związki komunalne) oraz miasto stołeczne  Warszawa   3) inne podmioty posiadające osobowość prawną  upoważnione do emisji obligacji na podstawie innych ustaw   zwane dalej ""emitentami"".  2. Banki emitują obligacje na zasadach określonych ustawą z dnia 31 stycznia 1989 r. - Prawo bankowe (Dz.U. z 1992 r. Nr 72  poz. 359  z 1993 r. Nr 6  poz. 29  Nr 28  poz. 127  Nr 134  poz. 646 oraz z 1994 r. Nr 80  poz. 369)  a w zakresie w niej nie uregulowanym  mają odpowiednie zastosowanie przepisy niniejszej ustawy.  "
Ile wynosi opłata na rzecz Klubu?;1996_145.txt:Art.14;Art. 14. 1. Podmiot organizujący na podstawie przepisów o grach losowych  zakładach  wzajemnych i grach na automatach zakłady wzajemne na wyścigi konne  uiszcza  opłatę na rzecz Klubu w wysokości 2% sumy wpłaconych stawek na zakłady  wzajemne na wyścigi konne w danym miesiącu  w terminie do 20 dnia następnego  miesiąca. 2. Opłata  o której mowa w ust. 1  podlega egzekucji w trybie przepisów o  postępowaniu egzekucyjnym w administracji.  
Czy udziałowcy mogą ponieść  odpowiedzialność za straty powstałe w banku?;1996_498.txt:Art.10;Art. 10. 1. Każdy członek banku spółdzielczego obowiązany jest posiadać co najmniej  jeden zadeklarowany i wpłacony udział. Minimalną wysokość udziału  członkowskiego określa statut. Udzielenie kredytu  pożyczki pieniężnej   gwarancji lub poręczenia może być uwarunkowane w statucie banku koniecznością  zadeklarowania i wpłacenia przez kredytobiorcę  pożyczkobiorcę  osobę której  ma być udzielone poręczenie lub gwarancja  co najmniej jednego udziału w tym  banku. 2. Odpowiedzialność udziałowców za straty powstałe w banku może zostać  podniesiona w statucie banku do podwójnej wysokości wpłaconych udziałów.  
Jaka kwota zostanie przekazana gmimon na sfinansowanie wypłat dla pracowników szkół?;1997_165.txt:Art.1;Art. 1. Minister Finansów  w terminie do dnia 1 kwietnia 1997 r.  przekaże gminom kwotę 66.646 tys. zł  przeznaczoną na sfinansowanie wypłat jednorazowego wyrównania poziomu wynagrodzeń pracownikom szkół podstawowych za drugie półrocze 1996 r.  stanowiącą część subwencji na zadania oświatowe  o której mowa w art. 12a ust. 1 ustawy z dnia 10 grudnia 1993 r. o finansowaniu gmin (Dz.U. Nr 129  poz. 600  z 1994 r. Nr 105  poz. 509  z 1995 r. Nr 124  poz. 601 i Nr 154  poz. 794 oraz z 1996 r. Nr 149  poz. 704 i Nr 156  poz. 774).  
