passage_id,question,passage
2000_1319_9,Kto wydaje decyzję o uznaniu praktyki za ograniczającą konkurencję?,"Art. 9. Prezes Urzędu Ochrony Konkurencji i Konsumentów, zwany dalej ""Prezesem Urzędu"", wydaje decyzję o uznaniu praktyki za ograniczającą konkurencję i nakazującą zaniechanie jej stosowania, jeżeli stwierdzi naruszenie zakazu określonego w art. 5, w zakresie niewyłączonym na podstawie art. 6 i 7, lub naruszenie art. 8."
2004_574_51,Kto powołuje okręgowych inspektorów rybołówstwa morskiego?,"Art. 51. 1. Okręgowi inspektorzy rybołówstwa morskiego podlegają ministrowi właściwemu do spraw rolnictwa. 2. Okręgowych inspektorów rybołówstwa morskiego powołuje i odwołuje minister właściwy do spraw rolnictwa, po zasięgnięciu opinii właściwego miejscowo wojewody. 3. Zastępców okręgowych inspektorów rybołówstwa morskiego powołuje i odwołuje minister właściwy do spraw rolnictwa, na wniosek okręgowych inspektorów rybołówstwa morskiego. 4. Minister właściwy do spraw rolnictwa w porozumieniu z ministrem właściwym do spraw administracji publicznej określi, w drodze rozporządzenia, siedziby i terytorialny zakres działania okręgowych inspektorów rybołówstwa morskiego, mając na względzie zwiększenie efektywności działania tych organów."
2001_21_24,Czym jest park krajobrazowy?,"Art. 24. 1. Park krajobrazowy jest obszarem chronionym ze względu na wartości przyrodnicze, historyczne i kulturowe, a celem jego utworzenia jest zachowanie, popularyzacja i upowszechnianie tych wartości w warunkach zrównoważonego rozwoju. 2. Grunty rolne, leśne i inne nieruchomości znajdujące się w granicach parku krajobrazowego pozostawia się w gospodarczym wykorzystaniu. 3. Wokół parku krajobrazowego może być utworzona otulina. 4. Utworzenie parku krajobrazowego następuje, w drodze rozporządzenia wojewody, po uzgodnieniu z właściwymi miejscowo organami zainteresowanych jednostek samorządu terytorialnego. 5. Wojewoda określa w rozporządzeniu nazwę parku krajobrazowego, obszar parku i otuliny, jeżeli została utworzona oraz wybiera właściwe dla danego parku krajobrazowego zakazy spośród wymienionych w art. 26a ust. 1, kierując się potrzebą ochrony przyrody.""; 23) dodaje się art. 24a - 24c w brzmieniu: """
1994_602_4,W jakim momencie powstaje obowiązek podatkowy?,"Art. 4. Obowiązek podatkowy powstaje: 1) w obrocie giełdowym - z chwilą zapłacenia ceny, 2) w pozostałych przypadkach - z chwilą zawarcia umowy."
1996_465_134,W jakim momencie powstaje spółka komandytowo-akcyjna?,"Art. 134. §1. Spółka komandytowo-akcyjna powstaje z chwilą wpisu do rejestru. §2. Osoby, które działały w imieniu spółki po jej zawiązaniu a przed jej wpisem do rejestru, odpowiadają solidarnie. Rozdział 3 Stosunek do osób trzecich"
2004_879_14,Ile przynajmniej godzin odpoczynku przysługuje kierowcy w ciągu każdej doby?,"Art. 14. 1. W każdej dobie kierowcy przysługuje prawo do co najmniej 11 godzin nieprzerwanego odpoczynku. Dobowy odpoczynek może być wykorzystany w pojeździe, jeżeli pojazd znajduje się na postoju i jest wyposażony w miejsce do spania. 2. W każdym tygodniu kierowcy przysługuje prawo do co najmniej 35 godzin nieprzerwanego odpoczynku. Tygodniowy nieprzerwany odpoczynek obejmuje odpoczynek dobowy, o którym mowa w ust. 1, przypadający w dniu, w którym kierowca rozpoczął odpoczynek tygodniowy."
2003_1750_112,Czy skazanie prawomocnym wyrokiem sądowym może skutkować zwolnieniem żołnierza z wojska?,Art. 112. Żołnierza zawodowego można zwolnić z zawodowej służby wojskowej wskutek: 1) skazania prawomocnym wyrokiem na karę pozbawienia wolności (aresztu wojskowego) z warunkowym zawieszeniem wykonania tej kary; 2) odmowy wydania lub pozbawienia żołnierza wymaganego poświadczenia bezpieczeństwa; 3) niewyznaczenia na stanowisko służbowe na kolejną kadencję; 4) otrzymania dostatecznej ogólnej oceny w okresowej opinii służbowej; 5) zaistnienia potrzeb Sił Zbrojnych - za pisemną zgodą żołnierza.
2001_298_39,Kogo zwalnia ze służby szef BOR?,"Art. 39. Funkcjonariusza zwalnia ze służby: 1) oficera - minister właściwy do spraw wewnętrznych, 2) chorążego, podoficera i szeregowego - Szef BOR."
1995_368_37,Czy skarga bez wskazania określonego naruszenia prawa bądź interesu prawnego jest zasadna?,"Art. 37. Skarga powinna zawierać: 1) oznaczenie skarżącego, jego miejsca zamieszkania lub siedziby, 2) wskazanie zaskarżonej decyzji, postanowienia, innego aktu lub czynności, 3) oznaczenie organu, którego działania lub bezczynności skarga dotyczy, 4) określenie naruszenia prawa bądź interesu prawnego, 5) podpis osoby wnoszącej skargę, a w przypadku wniesienia jej przez pełnomocnika - jego podpis z załączeniem do skargi pełnomocnictwa."
1997_944_10,Podczas jakich wydarzeń przełożony jest zobowiązany powiadomić podporządkowanych mu żołnierzy o udzieleniu wyróżnienia?,Art. 10. 1. Udzielenie żołnierzowi wyróżnienia i wyrażenie mu uznania stwierdza się w rozkazie dziennym (specjalnym) lub w innym dokumencie. 2. Przełożony jest zobowiązany powiadomić podporządkowanych mu żołnierzy o udzieleniu wyróżnienia lub wyrażeniu uznania w czasie zbiórki stanu osobowego lub odprawy żołnierzy zawodowych.
