passage_id,question,passage,is_negative
1997_553.txt:Art.249,Co grozi za podglądanie głosów innych osób podczas wyborów?," Art. 249.
Kto przemocą, groźbą bezprawną lub podstępem przeszkadza:
       1) odbyciu zgromadzenia poprzedzającego głosowanie,
       2) swobodnemu wykonywaniu prawa do kandydowania lub  głosowania,
       3) głosowaniu lub obliczaniu głosów,
           podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
       
                              ",0
1997_553.txt:Art.250,Co grozi za podglądanie głosów innych osób podczas wyborów?," Art. 250.
Kto, przemocą, groźbą bezprawną lub przez nadużycie stosunku zależności, 
wywiera wpływ na sposób głosowania osoby uprawnionej albo zmusza ją do 
głosowania lub powstrzymuje od głosowania,
        podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
                                    
                              ",0
1997_553.txt:Art.251,Co grozi za podglądanie głosów innych osób podczas wyborów?," Art. 251.
Kto, naruszając przepisy o tajności głosowania, wbrew woli głosującego zapoznaje
się z treścią jego głosu,
        podlega grzywnie, karze ograniczenia wolności albo pozbawienia 
         wolności do lat 2.
                                    
                             Rozdział XXXII
             Przestępstwa przeciwko porządkowi publicznemu“
                                    
                              ",0
2001_627.txt:Art.83,"Co należy zrobić, tworząc standard jakości środowiska?"," Art. 83.
1. Określając standardy jakości środowiska, należy kierować się skalą
  występowania i rodzajem oddziaływania substancji lub energii na środowisko.
2. Standardy jakości środowiska mogą być zróżnicowane w zależności od obszarów
  i są wyrażane jako poziomy substancji lub energii.
                                        
                                   ",0
1997_926.txt:Art.51,Co to jest zaległość podatkowa?," Art. 51.
§ 1. Zaległością podatkową jest podatek nie zapłacony w terminie płatności.
§ 2. Za zaległość podatkową uważa się także nie zapłaconą w terminie płatności
    zaliczkę na podatek, w tym również zaliczkę, o której mowa w art. 
    23 § 4, lub ratę podatku.
§ 3. Przepisy § 1 i 2 stosuje się również do należności z tytułu podatków, zaliczek
    na podatki oraz rat podatków nie wpłaconych w terminie płatności 
    przez płatnika lub inkasenta.
                               ",0
2002_110.txt:Art.40,Co znajduję się w rejestrze detektywów?," Art. 40.
1. Minister właściwy do spraw wewnętrznych prowadzi rejestr osób, którym wydano
  licencje, zwane dalej ""rejestrem detektywów"".
2. Rejestr detektywów obejmuje następujące dane:
   1) imię i nazwisko,
   2) adres zamieszkania ,
   3) numer licencji i datę jej wydania,
   4) datę zawieszenia lub cofnięcia licencji.
3. Rejestr detektywów jest jawny.
                                   ",0
2001_43.txt:Art.43,Czego nie można używać do cumowania statku?," Art. 43.
1. Śródlądowe drogi wodne należy utrzymywać w sposób zapewniający bezpieczną
  żeglugę poprzez:
   1) należyty stan techniczny budowli i urządzeń hydrotechnicznych służących
     żegludze oraz ich właściwą obsługę,
   2) systematyczną poprawę warunków eksploatacyjnych odpowiednich do klasy
     drogi wodnej,
   3) oznakowanie nawigacyjne szlaku żeglownego, budowli i urządzeń
     hydrotechnicznych, przeszkód nawigacyjnych oraz budowli i linii
     przesyłowych krzyżujących się z drogą wodną.
2. Szlak żeglowny należy oznakować znakami żeglugowymi pływającymi lub
  brzegowymi,  w sposób wskazujący przeszkody nawigacyjne i miejsca
  niebezpieczne dla żeglugi.
3. Zabrania się wykorzystywania znaków nawigacyjnych do cumowania lub
  przeciągania statku, jak również ich uszkadzania, przemieszczania, niszczenia
  bądź czynienia niezdolnymi do użytku zgodnie z przeznaczeniem.
4. Utrzymanie śródlądowych dróg wodnych w stanie zapewniającym bezpieczną
  żeglugę, z zastrzeżeniem ust. 5, należy do jednostek organizacyjnych ministra
  właściwego do spraw gospodarki wodnej, zwanych dalej ""administracją drogi
  wodnej"".
5. Oznakowanie nawigacyjne w portach oraz urządzeń, budowli i linii
  przesyłowych krzyżujących się z drogą wodną należy do ich właścicieli. Sposób
  oznakowania należy uzgodnić z administracją drogi wodnej.
6. Administracja dróg wodnych ogłasza w formie komunikatów w sposób zwyczajowo
  przyjęty aktualne warunki żeglugowe na śródlądowych drogach wodnych, terminy
  otwarcia i zamknięcia dróg wodnych dla żeglugi oraz wydaje informator o
  śródlądowych żeglownych drogach wodnych.
                                   ",0
2001_1381.txt:Art.96,Czy farmaceuta może odmówić wydania leku?," Art. 96.
1. Produkty lecznicze i wyroby medyczne wydawane są z apteki ogólnodostępnej
  przez farmaceutę lub technika farmaceutycznego w ramach jego uprawnień
  zawodowych:
   1) na podstawie recepty,
   2) bez recepty,
   3) na podstawie zapotrzebowania uprawnionych jednostek organizacyjnych lub
     osób fizycznych uprawnionych na podstawie odrębnych przepisów.
2. W przypadku nagłego zagrożenia zdrowia lub życia, aptekarz może wydać bez
  recepty lekarskiej produkt leczniczy zastrzeżony do wydawania na receptę w
  najmniejszym terapeutycznym opakowaniu z wyłączeniem środków odurzających,
  substancji psychotropowych i prekursorów grupy I-R.
3. Fakt wydania produktu leczniczego, o którym mowa w ust. 2, aptekarz
  odnotowuje na sporządzanej recepcie farmaceutycznej; recepta farmaceutyczna
  powinna zawierać nazwę wydanego produktu leczniczego, dawkę, przyczynę
  wydania produktu leczniczego, tożsamość i adres osoby, dla której produkt
  leczniczy został wydany, datę wydania, podpis i pieczątkę aptekarza. Recepta
  farmaceutyczna zastępuje receptę za 100% odpłatnością i podlega
  ewidencjonowaniu.
4. Farmaceuta i technik farmaceutyczny mogą odmówić wydania produktu
  leczniczego, jeżeli jego wydanie może zagrażać życiu lub zdrowiu pacjenta.
5. Produkty lecznicze i wyroby medyczne wydane z apteki nie podlegają zwrotowi,
  z zastrzeżeniem ust. 6.
6. Przepis ust. 5 nie dotyczy produktu leczniczego lub wyrobu medycznego
  zwracanego aptece, z powodu wady jakościowej lub niewłaściwego ich wydania.
7. Minister właściwy do spraw zdrowia, a w odniesieniu do aptek szpitalnych i
  zakładowych podległych Ministrowi Obrony Narodowej i Ministrowi
  Sprawiedliwości odpowiednio Minister Obrony Narodowej i Minister
  Sprawiedliwości określa, w drodze rozporządzenia, wydawanie z apteki
  produktów leczniczych i wyrobów medycznych, uwzględniając w szczególności:
   1) obowiązki osób realizujących receptę lub zapotrzebowanie, sporządzających
     lek recepturowy lub apteczny,
   2) przypadki, kiedy można odmówić wydania produktu leczniczego lub wyrobu
     medycznego,
   3) dane jakie powinno zawierać zapotrzebowanie na zakup produktów
     leczniczych lub wyrobów medycznych,
   4) sposób i tryb ewidencjonowania, o których mowa w ust. 3.
                                        
                                   ",0
2001_499.txt:Art.197,Czy legalne jest przyjęcie pieniędzy za złożenie podpisu pod kandydaturą na senatora?," Art. 197.
1. Zbieranie podpisów osób popierających zgłoszenie kandydata na senatora
  może być dokonywane tylko w miejscu, czasie i w sposób, które wykluczają
  groźbę, podstęp lub stosowanie jakichkolwiek nacisków zmierzających do
  uzyskania podpisów.
2. Zabrania się zbierania podpisów osób popierających zgłoszenie kandydata
  na senatora na terenie jednostek wojskowych i innych jednostek
  organizacyjnych podległych Ministrowi Obrony Narodowej oraz oddziałów
  obrony cywilnej, a także skoszarowanych jednostek podległych ministrowi
  właściwemu do spraw wewnętrznych.
3. Zabrania się udzielania wynagrodzenia pieniężnego w zamian za zbieranie
  lub złożenie podpisu pod zgłoszeniem kandydata na senatora.
                                 ",0
2000_1099.txt:Art.10,Czy transakcja wykonana na giełdzie jest grą losową?," Art. 10.
Transakcja giełdowa nie stanowi gry ani zakładu w rozumieniu art. 413 Kodeksu
cywilnego, ani też gry losowej lub zakładu wzajemnego w rozumieniu przepisów o
grach losowych, zakładach wzajemnych i grach na automatach, nawet jeżeli według
wyraźnej lub dorozumianej woli stron rzeczywiste spełnienie wzajemnych
świadczeń jest wyłączone, a tylko jedna lub druga ze stron jest obowiązana
zapłacić różnicę między umówioną ceną sprzedaży a ceną rynkową w czasie
wykonania umowy.
                                       
                                  ",0
