question;passage_id;passage
Jakie instytucje są organami dochodzenia w sprawach o przestępstwa skarbowe i wykroczenia?;1999_930_133;"§ 1. Dochodzenie prowadzą:
   1) urząd celny - w sprawach o przestępstwa skarbowe i wykroczenia skarbowe
     określone w art. 85-96 § 1, art. 98 § 2-4, art. 104 § 2 oraz w sprawach
     ujawnionych z art. 104 § 1 i 3, a w sprawach ujawnionych w zakresie swego
     działania przez Inspekcję Celną "" funkcjonariusz tej inspekcji,
   2) urząd skarbowy - w sprawach o pozostałe przestępstwa skarbowe i
     wykroczenia skarbowe, a w tych sprawach ujawnionych w zakresie swego
     działania przez urząd kontroli skarbowej "" inspektor kontroli skarbowej.
 § 2. Organy, o których mowa w § 1, mogą wszcząć dochodzenie w sprawach
     o przestępstwa skarbowe i wykroczenia skarbowe nie należące do ich
     właściwości; po zabezpieczeniu dowodów przekazują sprawę do dalszego
     prowadzenia właściwemu organowi."
Jakiej zdolności nie można pozbawiać zwierząt używanych do doświadczeń?;1997_724_31;"Zabrania się:
   1) pozbawiania zwierząt używanych do doświadczeń zdolności wydawania 
     głosu,
   2) przeprowadzania na zwierzętach testów środków kosmetycznych oraz 
     testów środków higienicznych, jeżeli dostępne są metody alternatywne,
   3) przeprowadzania dla celów dydaktycznych doświadczeń na zwierzętach, 
     powodujących ich zbędne cierpienie, jeżeli cel ten można osiągnąć w 
     inny sposób."
Kiedy emisję obligacji uważa się za niedoszłą do skutku?;1995_420_13;"1. Emisję uważa się za niedoszłą do skutku, jeżeli w terminie wyznaczonym 
   do zapisywania się na obligacje nie zostanie subskrybowane co najmniej 
   80% emisji. W przypadku emisji obligacji zabezpieczonych całkowicie, w 
   warunkach emisji emitent może określić inny próg dojścia subskrypcji do 
   skutku.
 2. Przepis ust. 1 stosuje się odpowiednio do emisji obligacji, o której mowa w 
   art. 9 ust. 1 pkt 2.
 3. O niedojściu emisji do skutku emitent:
    1) informuje poprzez ogłoszenie w dwóch dziennikach, wskazanych w 
      treści prospektu emisyjnego lub memorandum informacyjnego - w 
      terminie dwóch tygodni od upływu terminu, o którym mowa w art. 12 
      ust. 1, albo
    2) zawiadamia listami poleconymi indywidualnych adresatów propozycji 
      nabycia, wzywając do odbioru wpłaconych kwot - w terminie dwóch 
      tygodni od upływu terminu, o którym mowa w art. 12 ust. 3 pkt 1."
Jak długo trwa obowiązkowa kwarantanna dla osób zdrowych, które pozostawały w styczności z chorymi na dżumę płucną?;2001_1384_27;"1. Osoby, przybywające z zagranicy chore lub co do których istnieje uzasadnione
  podejrzenie choroby zakaźnej, mogą być poddane badaniom, o których mowa w
  art. 5 ust. 1 pkt 1, i obowiązkowemu leczeniu lub obowiązkowej
  hospitalizacji, izolacji, kwarantannie lub nadzorowi epidemiologicznemu, na
  zasadach określonych w art. 25 ust. 1.
 2. Obowiązkowej kwarantannie lub nadzorowi epidemiologicznemu podlegają
  osoby zdrowe, które pozostawały w styczności z chorymi na cholerę, dżumę
  płucną i wirusowe gorączki krwotoczne przez okres nie dłuższy niż w przypadku
  cholery "" 5 dni, dżumy płucnej "" 6 dni, wirusowych gorączek krwotocznych
  "" 21 dni od ostatniego dnia styczności.
3. W przypadku uzasadnionego podejrzenia wystąpienia skażenia bagaży,
  przedmiotów, materiałów i środków transportu mogą być one poddane dezynfekcji
  i dezynsekcji, a środki transportu ponadto deratyzacji. Postępowanie ze
  zwierzętami określają odrębne przepisy.
4. W przypadku konieczności izolowania lub poddania kwarantannie osób wojewoda
  obowiązany jest zorganizować warunki izolacji lub kwarantanny przez
  zapewnienie odpowiednich pomieszczeń, wyposażenia oraz osób posiadających
  odpowiednie kwalifikacje."
Ile razy w roku przysługuje żołnierzowi zawodowemu prawo do gratyfikacji urlopowej?;2003_1750_87;"1. Żołnierzowi zawodowemu przysługuje raz w roku prawo do gratyfikacji
  urlopowej.
2. Przy ustalaniu wysokości gratyfikacji urlopowej uwzględnia się również
  małżonka, a także dzieci pozostające na utrzymaniu żołnierza zawodowego.
3. Wysokość gratyfikacji urlopowej dla jednej osoby uwzględnianej przy
  ustalaniu jej wysokości nie może być niższa niż 30% najniższego uposażenia
  zasadniczego żołnierza zawodowego.
4. Minister Obrony Narodowej określi, w drodze rozporządzenia, wysokość oraz
  szczegółowe warunki wypłacania gratyfikacji urlopowej, z uwzględnieniem
  terminów i trybu jej wypłacania."
Jaki procent uprawnionych do głosowania musi wziąć udział w referendum, żeby było ono ważne?;2000_985_55;"Referendum jest ważne, jeżeli wzięło w nim udział co najmniej 30% uprawnionych
do głosowania."
Kto wykonuje funkcje konsula?;2001_1403_21;"1. Funkcje konsula wykonuje, wyznaczony przez dyrektora generalnego służby
  zagranicznej, członek personelu dyplomatyczno-konsularnego, który złożył
  egzamin konsularny.
2. Minister właściwy do spraw zagranicznych określi, w drodze rozporządzenia,
  zakres egzaminu konsularnego oraz sposób jego przeprowadzania, uwzględniając
  możliwość powtarzania egzaminu, a także sposób powoływania członków komisji
  egzaminacyjnej oraz wysokość ich wynagrodzenia."
Ile co najmniej wynosi okres przestawiania chowu zwierząt na produkcję metodami ekologicznymi w przypadku kur niosek?;2001_452_18;"1. Przestawianie gospodarstwa rolnego na produkcję metodami ekologicznymi
  według ustalonego programu jest realizowane co najmniej przez 2 lata; w
  przypadku użytków zielonych okres ten może zostać, za zgodą upoważnionej
  jednostki certyfikującej, skrócony do roku pod warunkiem, że nie stosowano na
  nich w ciągu ostatnich 3 lat środków ochrony roślin i nawozów niedozwolonych
  w rolnictwie ekologicznym.
2. Okres przestawiania chowu zwierząt na produkcję metodami ekologicznymi
  wynosi co najmniej, w przypadku:
   1) produkcji na mięso bydła i koni - 12 miesięcy,
   2) produkcji na mięso trzody, owiec, kóz - 6 miesięcy,
   3) pozyskiwania mleka - 6 miesięcy,
   4) drobiu rzeźnego - 10 tygodni,
   5) kur niosek - 6 tygodni.
3. W okresie, o którym mowa w ust. 1 i 2, gospodarstwo rolne podlega, co
  najmniej raz w roku, w terminie uzgodnionym z posiadaczem gospodarstwa,
  kontroli przez upoważnioną jednostkę certyfikującą w zakresie realizacji
  programu przestawiania gospodarstwa na prowadzenie produkcji metodami
  ekologicznymi.
4. Upoważniona jednostka certyfikująca w okresie przestawiania może
  przeprowadzić doraźne nieodpłatne kontrole w zakresie, o którym mowa w ust.
  3, bez uprzedniego powiadamiania posiadacza gospodarstwa rolnego."
Kto prowadzi rejestr zezwoleń na prowadzenie aptek ogólnodostępnych?;2001_1381_107;"1. Wojewódzki inspektor farmaceutyczny prowadzi rejestr zezwoleń na prowadzenie
  aptek ogólnodostępnych, punktów aptecznych oraz rejestr udzielonych zgód na
  prowadzenie aptek szpitalnych i zakładowych.
2. Rejestr powinien zawierać:
   1) w odniesieniu do aptek ogólnodostępnych i punktów aptecznych dane
     określone w art. 102 pkt 1-6 oraz imię i nazwisko kierownika apteki,
   2) w odniesieniu do aptek szpitalnych i zakładowych:
     a) zakład opieki zdrowotnej,
     b) adres apteki,
     c) zakres działalności apteki oraz imię i nazwisko jej kierownika.
3. Zmiana zezwolenia, jego cofnięcie lub wygaśnięcie, a także zmiana, cofnięcie
  lub wygaśnięcie zgody, wymaga wprowadzenia stosownych zmian w rejestrze.
                                        
                                   Rozdział 8
                            Inspekcja Farmaceutyczna"
Co zawiera informacja o osobie, sporządzona na podstawie danych osobowych zgromadzonych w Rejestrze?;2000_580_20;"Informacja o osobie, sporządzona na podstawie danych osobowych zgromadzonych w
Rejestrze, zawiera:
   1) dane identyfikujące osobę - nazwisko, w tym także przybrane, imiona,
     nazwisko rodowe, datę i miejsce urodzenia, imiona rodziców, obywatelstwo,
     nazwisko rodowe matki, miejsce zamieszkania, zawód wyuczony, a także
     numer PESEL,
   2) dane osobowe w zakresie objętym zapytaniem lub wnioskiem albo
     stwierdzenie, że osoba nie figuruje w Rejestrze,
   3) datę wydania,
   4) nazwisko i imię osoby upoważnionej do jej wydania,
   5) pieczęć urzędową."
