passage_id,question,passage
2001_1319_1,Kto ma zgodę na dokonanie ratyfikacji Umowy między Rzecząpospolitą Polską a Mongolią o pomocy prawnej i stosunkach prawnych w sprawach cywilnych,"Wyraża się zgodę na dokonanie przez Prezydenta Rzeczypospolitej Polskiej ratyfikacji Umowy między Rzecząpospolitą Polską a Mongolią o pomocy prawnej i stosunkach prawnych w sprawach cywilnych, rodzinnych, pracowniczych i karnych, podpisanej w Warszawie dnia 19 października 1998 r."
2001_634_6,Czego zakazuje się wykrzysytwać do żywienia ludzi lub do produkcji innych środków spożywczych?,"1. Zakazuje się wykorzystywania do żywienia ludzi lub do produkcji innych   środków spożywczych produktów pochodzących od zwierząt lub ze zwierząt,   którym podawano substancje o działaniu hormonalnym, tyreostatycznym i betaagonistycznym.  2. Zakaz nie dotyczy produktów pochodzących od zwierząt lub ze zwierząt, którym   podawano substancje wymienione w ust. 1 w celu leczniczym lub zootechnicznym   zgodnie z warunkami, o których mowa w art. 7, z zastrzeżeniem ust. 3. 3. Produkty pochodzące od zwierząt lub ze zwierząt, którym podawano hormony i   inne substancje, o których mowa w ust. 1, nie mogą być przeznaczone do   produkcji środków spożywczych specjalnego przeznaczenia żywieniowego."
1999_548_5,Kto ponosi odpowiedzialność w razie wyrządzenia nieumyślnie szkody przez kilku funkcjonariuszy?,"W razie wyrządzenia nieumyślnie szkody przez kilku funkcjonariuszy, każdy z nich ponosi odpowiedzialność za część szkody, stosownie do przyczynienia się do niej i stopnia winy.  Jeżeli nie jest możliwe ustalenie stopnia winy i przyczynienia się poszczególnych funkcjonariuszy do powstania szkody, odpowiadają oni w częściach równych."
2004_880_149,Jakie zwierzęta podlegają rejestracji?,"Zwierzęta, o których mowa w art. 61 ust. 1, na które nie ma dokumentu stwierdzającego legalność pochodzenia lub zezwolenia ministra właściwego do spraw środowiska, podlegają rejestracji, zgodnie z art. 64 ust. 1, w okresie 6 miesięcy od dnia wejścia w życie ustawy."
2001_1382_15,Pod jakim warunkiem zezwolenia na prowadzenie działalności gospodarczej zachowują ważność?,"1. Zezwolenia  na prowadzenie działalności gospodarczej w zakresie   wytwarzania środków farmaceutycznych, wydane przed dniem wejścia w   życie Prawa farmaceutycznego zachowują ważność, pod warunkiem   złożenia do Głównego Inspektora Farmaceutycznego, w terminie 6   miesięcy od dnia wejścia w życie Prawa farmaceutycznego, wykazu   wytwarzanych produktów leczniczych. 2. Wytwórcy prowadzący wytwórnie w dniu wejścia w życie Prawa   farmaceutycznego obowiązani są dostosować swoją działalność do   przepisów tej ustawy, w terminie roku od dnia wejścia jej w życie."
2003_1750_117,W jakim zakresie stosuje się również te przepisy?,"W zakresie zwalniania z zawodowej służby wojskowej żołnierzy zawodowych, których stosunek służbowy lub wykonywanie zawodu jest unormowane w odrębnych przepisach, stosuje się również te przepisy."
2000_1319_87,Czy podmiotowi przysługuje prawo do wniesienia odwołania lub zażalenia.?,"1. Prezes Urzędu może dopuścić do udziału w postępowaniu w charakterze   podmiotu zainteresowanego:    1) przedsiębiorcę poszkodowanego na skutek działań stanowiących naruszenie      przepisów ustawy,    2) stronę umowy, której dotyczy postępowanie,    3) inny podmiot, który wystąpi z  wnioskiem i wykaże swój interes prawny lub      którego dopuszczenie do udziału w postępowaniu przyczyni się do      wyjaśnienia sprawy. 2. Dopuszczenie lub odmowa dopuszczenia do udziału w postępowaniu w   charakterze podmiotu zainteresowanego następuje w drodze postanowienia, na   które przysługuje zażalenie. 3. Podmiot zainteresowany ma prawo składania wyjaśnień co do okoliczności   sprawy. 4. Podmiot zainteresowany ma prawo wglądu do akt w zakresie, w jakim jest to   konieczne do ochrony jego praw, i jeśli nie naruszy to tajemnicy   przedsiębiorstwa, jak również innych tajemnic podlegających ochronie na   podstawie odrębnych przepisów. 5. Prezes Urzędu informuje podmiot zainteresowany o sposobie załatwienia   sprawy. Podmiotowi temu nie przysługuje prawo do wniesienia odwołania lub   zażalenia."
1998_1125_2,"Czy osoba, która cieszy się nieposzlakowaną opinią. może zostać urzędnikiem?","Urzędnikiem może być osoba, która:    1) korzysta z pełni praw cywilnych i publicznych,    2) nie była karana za przestępstwo popełnione umyślnie,    3) ma co najmniej średnie wykształcenie i zna dobrze język polski,    4) odbyła staż urzędniczy w sądzie lub w prokuraturze,    5) ma stan zdrowia pozwalający na zatrudnienie na określonym stanowisku,    6) cieszy się nieposzlakowaną opinią."
1997_539_19,Czy w każdej gminie znajduje się wojewódzka biblioteka publiczna?,"1. Biblioteki publiczne organizowane są w sposób zapewniający mieszkańcom     dogodny dostęp do materiałów bibliotecznych i informacji. W tym celu w     każdym województwie jest organizowana i prowadzona wojewódzka biblioteka    publiczna, a w każdej gminie co najmniej jedna gminna (komunalna)     biblioteka publiczna, wraz z odpowiednią liczbą filii i oddziałów oraz punktów    bibliotecznych.  2. Biblioteki publiczne mogą zawierać, za zgodą organizatora, porozumienia     z innymi bibliotekami i instytucjami w sprawie wspólnego prowadzenia obsługi    bibliotecznej określonych środowisk."
1995_713_24,Co to obwód łowiecki leśny?,"1. Obwody łowieckie dzielą się na obwody łowieckie leśne i polne.  2. Obwód łowiecki leśny jest to obszar, w którym grunty leśne stanowią co     najmniej 40% ogólnej powierzchni tego obszaru.  3. Obwód łowiecki polny jest to obszar, w którym grunty leśne stanowią     mniej niż 40% ogólnej powierzchni tego obszaru."
1997_777_8,Na co przeznacza się Środki Funduszu Rozwoju?,"1. Środki Funduszu Rozwoju przeznacza się na finansowanie działań w zakresie    resocjalizacji osób pozbawionych wolności, a w szczególności na:     1) tworzenie nowych miejsc pracy dla osób pozbawionych wolności,     2) tworzenie w zakładach karnych infrastruktury niezbędnej dla działań        resocjalizacyjnych,     3) modernizację przywięziennych zakładów pracy i ich produkcji,     4) organizowanie nauki zawodu i doskonalenia zawodowego dla osób        pozbawionych wolności,     5) organizowanie szkolenia w zakresie aktywizacji zawodowej i umiejętności       poszukiwania pracy.  2. Ze środków Funduszu Rozwoju mogą być przyznawane pożyczki bądź dotacje    przywięziennym zakładom pracy zatrudniającym osoby pozbawione     wolności.  3. Minister Sprawiedliwości określi, w drodze rozporządzenia, zasady i tryb     przyznawania pożyczek bądź dotacji przywięziennym zakładom pracy ze     środków, o których mowa w ust. 2."
1997_555_612,Co robi się z każdorazowym wypadkiem zastosowania tymczasowego aresztowania wobec obywatela państwa obcego?,§ 1. O każdorazowym wypadku zastosowania tymczasowego aresztowania       wobec obywatela państwa obcego zawiadamia się niezwłocznie właściwy       miejscowo urząd konsularny tego państwa - lub w braku takiego urzędu      - przedstawicielstwo dyplomatyczne tego państwa.  § 2. W razie zatrzymania obywatela państwa obcego należy zatrzymanemu       umożliwić na jego prośbę nawiązanie w dostępnej formie kontaktu z       właściwym urzędem konsularnym lub przedstawicielstwem dyplomatycznym.
1999_930_157,Czy udział prokuratora w rozprawie wyłącza obowiązek udziału finansowego organu dochodzenia lub jego przedstawiciela w charakterze oskarżyciela publicznego?,"§ 1. Udział w rozprawie finansowego organu dochodzenia lub jego      przedstawiciela, w szczególności tego który wniósł akt oskarżenia, jest      obowiązkowy w postępowaniu uproszczonym. Udział prokuratora w rozprawie      nie wyłącza obowiązku udziału finansowego organu dochodzenia lub jego      przedstawiciela w charakterze oskarżyciela publicznego.  § 2. W sprawach o przestępstwa skarbowe, w których akt oskarżenia wniósł      prokurator, finansowy organ dochodzenia lub jego przedstawiciel może      działać obok prokuratora w charakterze oskarżyciela publicznego."
1997_555_590,Kiedy Minister Sprawiedliwości zwraca się do właściwego organu państwa obcego?,"§ 1. W sprawie o przestępstwo popełnione za granicą przez:        1) obywatela polskiego,        2) osobę mającą na terytorium Rzeczypospolitej Polskiej stałe miejsce          zamieszkania,        3) osobę, która odbywa lub będzie odbywać w Rzeczypospolitej Polskiej          karę pozbawienia wolności,        4) osobę, przeciwko której zostało wszczęte w Rzeczypospolitej Polskiej          postępowanie karne     - Minister Sprawiedliwości zwraca się, jeżeli wymaga tego interes wymiaru      sprawiedliwości, do właściwego organu państwa obcego z wnioskiem      o przekazanie ścigania albo może przyjąć taki wniosek od właściwego      organu państwa obcego.  § 2. Przejęcie ścigania karnego uważa się za wszczęcie postępowania karnego      według prawa polskiego.  § 3. Jeżeli przejęcie ścigania łączy się z przekazaniem przez państwo obce       tymczasowo aresztowanego, art. 598 stosuje się.  § 4. Do dowodów zebranych za granicą przed przejęciem ścigania stosuje       się odpowiednio art. 587, choćby czynności dowodowe nie były podjęte       na wniosek polskiego sądu lub prokuratora.  § 5. Minister Sprawiedliwości zawiadamia właściwy organ państwa obcego o       sposobie prawomocnego zakończenia postępowania karnego."
2004_574_27,W jakich przypadkach odmawia się powtrnego wydania pozwolenia na połowy organizmów morskich w celach naukowo-badawczych?,"1. Odmawia się powtrnego wydania pozwolenia na połowy organizmów morskich w   celach naukowo-badawczych, w przypadku gdy:    1) wnioskodawca ubiegający się o pozwolenie nie przedstawił wyników i      wniosków, o których mowa w art. 25, lub    2) podczas przeprowadzania poprzednich badań zostały rażąco naruszone      przepisy o rybołówstwie lub warunki określone w pozwoleniu na połowy      organizmów morskich w celach naukowo-badawczych. 2. Odmawia się powtrnego wydania pozwolenia na połowy organizmów morskich w   celach szkoleniowych przez okres 3 lat, jeżeli podczas poprzednich połowów   zostały rażąco naruszone przepisy o rybołówstwie lub warunki określone w   pozwoleniu na połowy organizmów morskich w celach szkoleniowych."
2001_423_3,Kto sprawuje nadzór nad Akademią?,Nadzór nad Akademią sprawuje minister właściwy do spraw kultury i ochrony dziedzictwa narodowego.
1996_402_49,Czy urzędnik służby cywilnej przy wykonywaniu obowiązków służbowych może kierować się swoimi przekonaniami politycznymi?,"1. Urzędnik służby cywilnej przy wykonywaniu obowiązków służbowych nie     może kierować się swoimi przekonaniami politycznymi ani religijnymi, ani     interesem jednostkowym lub grupowym.  2. Urzędnikowi służby cywilnej nie wolno publicznie manifestować swoich     przekonań politycznych.  3. Urzędnik służby cywilnej zaliczony do kategorii urzędniczej A nie ma prawa    tworzenia ani uczestniczenia w związkach zawodowych lub partiach politycznych.    W dniu zaliczenia urzędnika do kategorii A jego członkostwo w     związkach zawodowych i partii politycznej ustaje z mocy prawa."
1997_776_53,Nad czym badania naukowe prowadzi Instytut Pamięci?,"Instytut Pamięci:    1) prowadzi badania naukowe nad zbrodniami i zdarzeniami, o których mowa w      art. 1, a także udostępnia zgromadzone dokumenty innym placówkom      naukowym w celu prowadzenia takich badań, z zachowaniem warunków      określonych w ustawie,    2) udziela informacji na temat zgromadzonych dokumentów oraz publikuje      zbiory posiadanych dokumentów,    3) informuje społeczeństwo o strukturach i metodach działania instytucji,      w ramach których zostały popełnione  zbrodnie nazistowskie i      komunistyczne oraz informuje o sposobach działania organów      bezpieczeństwa państwa,    4) upowszechnia w kraju i za granicą wyniki swojej pracy oraz badań innych      instytucji, organizacji i osób nad problematyką stanowiącą przedmiot      jego działania,    5) prowadzi działalność wystawienniczą,    6) formułuje wnioski dotyczące edukacji historycznej.                                                                         Rozdział 7                                Przepisy karne"
2001_499_17,"Gdzie wpisuje się osoby, którym przysługuje prawo wybierania?","1. Osoby, którym przysługuje prawo wybierania, wpisuje się do spisu   wyborców. 2. Wyborca może być wpisany tylko do jednego spisu wyborców. 3. Spis wyborców służy do przeprowadzania głosowania w wyborach do Sejmu i   do Senatu, do których wybory zostały zarządzone. 4. W spisie wyborców wymienia się dane, o których mowa w art. 11 ust. 4. 5. Spis wyborców, z zastrzeżeniem art. 25 ust. 1 i art. 26 ust. 1,   sporządzany jest i aktualizowany przez gminę jako zadanie zlecone. 6. Spis wyborców sporządza się w 2 egzemplarzach, oddzielnie dla każdego   obwodu głosowania, według miejsca zamieszkania wyborców, najpóźniej w 14   dniu przed dniem wyborów. 7. Jeden egzemplarz spisu wyborców przekazuje się w przeddzień wyborów   przewodniczącemu właściwej obwodowej komisji wyborczej."
2001_1070_9,Kto jest organem samorządu sędziowskiego?,"Organem samorządu sędziowskiego jest Zgromadzenie Sędziów Sądów           Wojskowych.""; 7) w art. 10 w § 3 skreśla się pkt 4; 8) po art. 10 dodaje się art. 10a w brzmieniu:     """
1994_195_130,"Co należy uwzględnić przy ocenie, czy oznaczenie ma dostateczne znamiona odróżniające?","Przy ocenie, czy oznaczenie ma dostateczne znamiona odróżniające należy uwzględnić wszystkie okoliczności związane z oznaczaniem nim towarów w obrocie. Odmowa udzielenia prawa ochronnego na podstawie przepisu art. 129 ust. 1 pkt 2 nie może nastąpić w szczególności, jeżeli przed datą zgłoszenia znaku towarowego w Urzędzie Patentowym,  znak ten nabrał, w następstwie jego używania, charakteru odróżniającego w przeciętnych warunkach obrotu."
1997_553_34,Ile trwa kara ograniczenia wolności jeżeli ustawa nie stanowi inaczej?,"§ 1. Jeżeli ustawa nie stanowi inaczej, kara ograniczenia wolności trwa najkrócej      miesiąc, najdłużej 12 miesięcy; wymierza się ją w miesiącach.  § 2. W czasie odbywania kary ograniczenia wolności skazany:        1) nie może bez zgody sądu zmieniać miejsca stałego pobytu,        2) jest obowiązany do wykonywania pracy wskazanej przez sąd,        3) ma obowiązek udzielania wyjaśnień dotyczących przebiegu odbywania           kary."
1997_944_8,Jak udziela się pochwał?,"1. Pochwały udziela się ustnie lub pisemnie.  2. Urlopu krótkoterminowego udziela się na czas od trzech do siedmiu dni.     Łączny wymiar urlopów krótkoterminowych w ciągu roku służby nie może     przekroczyć dziesięciu dni.  3. Nagrody rzeczowej udziela się w postaci przedmiotu, którego wartość nie     powinna być wyższa od dwukrotnego najniższego uposażenia zasadniczego     żołnierza zawodowego, obowiązującego w dniu udzielenia tej nagrody.  4. Nagrody pieniężnej udziela się w wysokości, która nie powinna być wyższa     od wysokości dwukrotnego uposażenia zasadniczego ostatnio otrzymanego     przez wyróżnionego żołnierza.  5. Białą broń wręcza się wraz z dedykacją.  6. Wcześniejszym mianowaniem na kolejny stopień wojskowy można wyróżnić     żołnierza nawet wtedy, gdy nie spełnia on warunków wymaganych w odrębnych    przepisach do mianowania na ten stopień wojskowy."
