1994_195.txt_Art.10;Gdzie należy dokonać sprawdzenia, czy spełnione są wymagane warunki do uzyskania patentu?;Art. 10. 1. Wydanie decyzji o udzieleniu patentu na wynalazek oraz prawa ochronnego na  wzór użytkowy następuje po sprawdzeniu przez Urząd Patentowy, w ustalonym  zakresie, czy są spełnione warunki wymagane do uzyskania patentu lub prawa  ochronnego. 2. Wydanie decyzji o udzieleniu prawa z rejestracji wzoru przemysłowego  następuje po sprawdzeniu w Urzędzie Patentowym prawidłowości zgłoszenia tego  wzoru.  
1994_344.txt_Art.10;Kto powołuje członków Kolegium?;Art. 10.  1. Organem doradczym i opiniodawczym Prezesa Urzędu jest Kolegium.  2. Członków Kolegium powołuje i odwołuje Prezes Rady Ministrów na wniosek  Prezesa Urzędu.  
1994_369.txt_Art.8;Kto powołuje prezesa zarządu banku spółdzielczego?;Art. 8.  1. Prezesa zarządu banku spółdzielczego powołuje i odwołuje rada nadzorcza banku, po zasięgnięciu opinii zarządu banku regionalnego, w którym bank spółdzielczy jest zrzeszony.  2. Pozostałych członków zarządu banku spółdzielczego powołuje i odwołuje rada nadzorcza na wniosek prezesa zarządu banku spółdzielczego.  3. Co najmniej dwóch członków zarządu, w tym prezes zarządu banku spółdzielczego,  musi posiadać kwalifikacje i doświadczenie zawodowe dające rękojmię prowadzenia działalności banku z zachowaniem bezpieczeństwa wkładów i lokat w nim zgromadzonych oraz pozostawać z bankiem w stosunku  pracy.  
1994_591.txt_Art.9;W jakiej walucie prowadzi się księgi rachunkowe?;Art. 9. Księgi rachunkowe prowadzi się, a sprawozdania finansowe sporządza się w języku polskim i w walucie polskiej.  
1994_627.txt_Art.2;Przez kogo są wydawane przepisy techniczno-budowlane dotyczące autostrad?;Art. 2.  1. Minister Transportu i Gospodarki Morskiej jest naczelnym organem administracji  państwowej właściwym w sprawach przygotowania budowy i eksploatacji  autostrad. Przepis ten nie narusza uprawnień Ministra Gospodarki  Przestrzennej i Budownictwa, określonych przepisami prawa budowlanego.  2. Minister Transportu i Gospodarki Morskiej wydaje, w drodze rozporządzenia,  przepisy techniczno-budowlane dotyczące autostrad.  
1995_1.txt_Art.3;Komu podlega Krajowy Urząd Pracy?;Art. 3.  1. Krajowy Urząd Pracy jest centralnym organem administracji państwowej i podlega Ministrowi Pracy i Polityki Socjalnej.  2. Prezes Krajowego Urzędu Pracy jest powoływany i odwoływany przez Prezesa  Rady Ministrów na wniosek Ministra Pracy i Polityki Socjalnej, zaopiniowany  przez Naczelną Radę Zatrudnienia.  3. Minister Pracy i Polityki Socjalnej określa, w drodze rozporządzenia, organizację,  szczegółowe zasady i zakres działania Krajowego Urzędu Pracy oraz wojewódzkich i rejonowych urzędów pracy.  
1995_59.txt_Art.1;Komu podlega Najwyższa Izba Kontroli?;Art. 1. 1. Najwyższa Izba Kontroli jest naczelnym organem kontroli państwowej. 2. Najwyższa Izba Kontroli podlega Sejmowi. 3. Najwyższa Izba Kontroli działa na zasadach kolegialności.  
1995_368.txt_Art.3;Kto ustala strukturę organizacyjną Naczelnego Sądu Administracyjnego?;Art. 3.  1. Prezydent Rzeczypospolitej Polskiej, w drodze rozporządzenia, ustala strukturę  organizacyjną Naczelnego Sądu Administracyjnego i regulamin jego działania.  2. Prezydent Rzeczypospolitej Polskiej, po zasięgnięciu opinii Ministra Sprawiedliwości, w drodze rozporządzenia, tworzy i znosi ośrodki zamiejscowe Naczelnego Sądu Administracyjnego, określa ich siedziby oraz właściwości miejscową i rzeczową. 
1995_436.txt_Art.1;Kto tworzy lokalną wspólnotę samorządową powiatu?;Art. 1. 1. Mieszkańcy powiatu tworzą z mocy prawa lokalną wspólnotę samorządową. 2. Ilekroć w ustawie jest mowa o powiecie, należy przez to rozumieć lokalną  wspólnotę samorządową oraz odpowiednie terytorium.  
1995_439.txt_Art.8;Jakie informacje nie mogą być zbierane w badaniach statystycznych z udziałem osób fizycznych jako obowiązek?;Art. 8. W badaniach statystycznych z udziałem osób fizycznych nie mogą być zbierane, na zasadzie obowiązku, informacje dotyczące rasy, wyznania, życia osobistego oraz poglądów filozoficznych i politycznych.  
