question;id;content
Kto to jest Prezes URE?;Art. 72_1997_348.txt;" Art. 21.  1. Zadania z zakresu spraw regulacji gospodarki paliwami i energią oraz promowania konkurencji realizuje Prezes Urzędu Regulacji Energetyki, zwany dalej ""Prezesem URE"".  2. Prezes URE jest centralnym organem administracji rządowej powoływanym  na okres 5 lat przez Prezesa Rady Ministrów.  3. Prezes URE może być odwołany przed upływem okresu, na który został powołany, w przypadku choroby trwale uniemożliwiającej wykonywanie zadań, rażącego naruszania swoich obowiązków, popełnienia przestępstwa stwierdzonego prawomocnym wyrokiem sądu lub rezygnacji.  4. Prezes URE wykonuje zadania, o których mowa w ust. 1, przy pomocy Urzędu Regulacji Energetyki zwanego dalej ""URE"".  5. Wiceprezesa URE powołuje i odwołuje, na wniosek Prezesa URE, Prezes Rady Ministrów.  6. Organizację i tryb pracy URE określa statut nadany przez Prezesa Rady Ministrów w drodze rozporządzenia. "
Czym jest uchwała budżetowa województwa?;Art. 92_1998_576.txt; Art. 64. 1. Uchwała budżetowa województwa składa się z budżetu województwa, ustaleń  dotyczących spraw, które, na podstawie Prawa budżetowego, pozostawiono do  uchwały sejmiku województwa, oraz spraw wskazanych przez sejmik województwa  w uchwale, o której mowa w art. 63 ust. 2. 2. Uchwała budżetowa może obejmować wydatki na wieloletnie programy  inwestycyjne, jeżeli:  1) dla każdego programu wieloletniego zostały przez sejmik województwa  odrębnie określone:  a) nazwa programu, jego cel i zadania, które będą finansowane z budżetu  województwa,  b) jednostka organizacyjna wykonująca program lub też koordynująca  wykonywanie programu,  c) okres realizacji programu i łączne nakłady finansowe,  d) wysokość wydatków w poszczególnych latach realizacji programu,  2) kolejne uchwały budżetowe będą obejmować nakłady na uruchomiony program  w wysokości umożliwiającej jego terminowe zakończenie,  3) zmiana kwot wydatków na realizację programu może być wyłącznie skutkiem  odrębnych uchwał sejmiku województwa zmieniających zakres wykonywania  tego programu lub wstrzymujących jego wykonywanie. 
Czym jest spis kontrolny?;Art. 18_1996_147.txt;" Art. 16.  1. Od dnia 26 czerwca do dnia 2 lipca 1996 r. w wylosowanych obwodach spisowych zostanie przeprowadzony spis kontrolny.  2. Spis kontrolny polega na sprawdzeniu kompletności przeprowadzonego spisu oraz prawdziwości i poprawności zapisów w kwestionariuszach spisowych.  3. Prezes Głównego Urzędu Statystycznego określi, w drodze zarządzenia, szczegółowy zakres oraz tryb przeprowadzenia spisu kontrolnego. Zarządzenie  podlega ogłoszeniu w Dzienniku Urzędowym Rzeczypospolitej Polskiej ""Monitor Polski"". "
Do jakiego leczenia ma prawo ubezpieczony?;Art. 15_2001_906.txt; Art. 31c. 1. Ubezpieczony ma prawo do leczenia szpitalnego na podstawie  skierowania lekarza ubezpieczenia zdrowotnego, jeżeli cel  leczenia nie może być osiągnięty poprzez leczenie ambulatoryjne,  z zastrzeżeniem art. 58 ust. 3.  2. Ubezpieczony ma prawo do wyboru szpitala spośród szpitali tego  samego poziomu referencyjnego, które zawarły umowę z Kasą Chorych.  Jeżeli ubezpieczony wybierze inny szpital wyższego poziomu  referencyjnego, Kasa Chorych obciąża go wynikającą stąd różnicą  kosztów.  3. Różnice kosztów, o których mowa w ust. 2, określa się porównując  średni koszt leczenia pacjenta na oddziałach danej specjalności w  szpitalach obu poziomów referencyjnych na obszarze działania Kasy  Chorych w poprzednim roku kalendarzowym.  4. Minister Zdrowia i Opieki Społecznej określi, w drodze  rozporządzenia, krajową sieć szpitali ustalając ich poziom  referencyjny w zależności od rodzaju udzielanych przez te szpitale  świadczeń zdrowotnych. 
Co jest podstawą prawną do egzekucji uposażenia funkcjonariusza na podstawie tytułów egzekucyjnych sądowych?;Art. 151_2001_298.txt; Art. 112. 1. Egzekucja z uposażenia funkcjonariusza na podstawie tytułów  egzekucyjnych sądowych i administracyjnych następuje odpowiednio  według przepisów o egzekucji sądowej lub egzekucji administracyjnej. 2. Potrąceń na podstawie dobrowolnych obciążeń uposażenia, o których  mowa w art. 111 ust. 1 pkt 3, i szczególnych przepisów ustawowych  dokonuje się w wysokości ustalonej przez funkcjonariusza w jego  zobowiązaniu lub w przepisach szczególnych, niezależnie od potrąceń  dokonywanych na podstawie tytułów egzekucyjnych sądowych i  administracyjnych. 3. Kwota uposażenia równa kwocie najniższego wynagrodzenia pracowników  za pełny miesięczny wymiar czasu pracy ustalonego przez ministra  właściwego do spraw pracy na podstawie Kodeksu pracy jest wolna od  potrąceń, z wyjątkiem potrąceń z tytułu świadczeń alimentacyjnych. 
Kto jest naczelnym organem administracji w sprawach dotyczących budowania autostrad?;Art. 71_1994_627.txt; Art. 2.  1. Minister Transportu i Gospodarki Morskiej jest naczelnym organem administracji  państwowej właściwym w sprawach przygotowania budowy i eksploatacji  autostrad. Przepis ten nie narusza uprawnień Ministra Gospodarki  Przestrzennej i Budownictwa, określonych przepisami prawa budowlanego.  2. Minister Transportu i Gospodarki Morskiej wydaje, w drodze rozporządzenia,  przepisy techniczno-budowlane dotyczące autostrad. 
Czyja opinia może być konieczna do rozdzielenia niewykorzystanych kwot połowowych?;Art. 73_2004_574.txt; Art. 21. Kwoty połowowe niewykorzystane po wydaniu decyzji, o której mowa w art. 15 ust. 1 pkt 1 i art. 20, minister właściwy do spraw rolnictwa może rozdzielić po zasięgnięciu opinii organizacji społeczno-zawodowych rybaków. 
Co można finansować z budżetu państwa?;Art. 18_2004_898.txt;" Art. 13. 1. Na zasadach określonych w przepisach o finansach publicznych, z budżetu  państwa można:  1) dofinansować prowadzenie badań dotyczących rolnictwa ekologicznego, w tym  wykonywanie analiz na zawartość substancji niedozwolonych do stosowania w  rolnictwie ekologicznym;  2) udzielać dotacji na dofinansowanie kosztów kontroli gospodarstw rolnych,  w których prowadzona jest produkcja metodami ekologicznymi. 2. Z budżetu państwa mogą być dofinansowywane działania promocyjne w rolnictwie  ekologicznym, w tym udział w targach krajowych i międzynarodowych, na  podstawie umów zawartych w trybie przepisów o finansach publicznych. "
Jaki jest przykładowy organ pomocniczy Delegata Rządu?;Art. 110_1994_592.txt;" Art. 8. 1. Organem pomocniczym Delegata Rządu jest Zespół do Spraw Wdrożenia Reformy  Administracji Publicznej w Województwie, zwany dalej ""Zespołem"". W skład  Zespołu wchodzą dotychczasowi wojewodowie mający siedziby na obszarze  województwa oraz inne osoby powołane przez Delegata Rządu. 2. Delegat Rządu wyznacza sekretarza Zespołu kierującego bieżącymi pracami  Zespołu. 3. Delegat Rządu może powoływać inne zespoły o charakterze opiniodawczodoradczym. 4. Obsługę merytoryczną, finansową, organizacyjno-prawną, techniczną i  kancelaryjno-biurową Delegata Rządu oraz Zespołu wykonuje dotychczasowy  urząd wojewódzki w mieście będącym siedzibą wojewody oraz inne  dotychczasowe urzędy wojewódzkie na obszarze województwa. "
Jakie warunki muszą być spełnione aby żołnierz pełniący czynną służbę wojskową mógł uczestniczyć w nabożeństwa w niedzielę bądź święta?;Art. 36_1995_482.txt; Art. 15.  1. Żołnierzom pełniącym czynną służbę wojskową zapewnia się możliwość uczestniczenia - poza terenem jednostek wojskowych - w nabożeństwach i czynnościach religijnych w niedziele i w święta, jeżeli w miejscowości stacjonowania  jednostki wojskowej lub w jej pobliżu znajduje się miejsce kultu  publicznego Kościoła i jeżeli nie koliduje to z ważnymi obowiązkami służbowymi.  2. Opiekę duszpasterską na terenie jednostek wojskowych dla żołnierzy, o których mowa w ust. 1, zapewniają duchowni Kościoła w terminach uzgodnionych  z dowódcami jednostek.  3. Duchownych, o których mowa w ust. 2, wyznacza Rada Synodalna w porozumieniu  z Ministrem Obrony Narodowej. 
Kiedy nie stosuje się postępowania uproszczonego?;Art. 682_1997_555.txt;" Art. 470. Postępowania uproszczonego nie stosuje się:  1) w stosunku do oskarżonego pozbawionego wolności w tej lub innej  sprawie, chyba że zastosowano zatrzymanie lub tymczasowe aresztowanie wobec ujętego na gorącym uczynku lub bezpośrednio  potem sprawcy przestępstwa z art. 157 § 2 i 3, art. 191 § 1, art. 216 § 1 i 2, art. 217 § 1, art. 257 i 288 § 2 Kodeksu karnego; przepisu art. 259 § 3 nie stosuje się,  2) jeżeli zachodzą okoliczności wymienione w art. 79 § 1. "
Kto zapewnia przestrzeganie zasad higieny w procesie produkcji żywności w zakładach ją produkujących?;Art. 61_2001_634.txt; Art. 28. 1. Przestrzeganie właściwej jakości zdrowotnej żywności oraz zasad higieny w  procesie produkcji i w obrocie żywnością w zakładach produkujących żywność  lub wprowadzających ją do obrotu jest zapewnione przez kontrolę wewnętrzną. 2. Kontrola wewnętrzna w zakładzie obejmuje czynności niezbędne dla  sprawdzenia:  1) prawidłowości przestrzegania warunków i zasad higieny w celu zapewnienia  właściwej jakości zdrowotnej środków spożywczych oraz materiałów i wyrobów  przeznaczonych do kontaktu z tymi artykułami w toku produkcji,  przechowywania i wprowadzania do obrotu,  2) oceny skuteczności systemu HACCP. 
