passage_id,question,passage
2004_167_32,Ile wynosi przeciętne wynagrodzenie brutto prognozowane na 2004 rok?,"Art. 32.
Prognozowane na 2004 r. przeciętne miesięczne wynagrodzenie brutto w
gospodarce narodowej wynosi 2.290 zł."
1996_465_305,Jakie dodatkowe oznaczenie powinna zawierać firma spółki?,"Art. 305.
 § 1. Firma spółki może być obrana dowolnie; powinna zawierać dodatkowe
     oznaczenie ""spółka akcyjna"".
 § 2. Dopuszczalne jest używanie w obrocie skrótu ""S.A.""."
1997_739_97,Kto określa tryb udzielania pomocy przez organy samorządu terytorialnego?,"Art. 97.
 1. Rada Ministrów określi, w drodze rozporządzenia, szczegółowe zasady i 
   tryb udzielania przez organy administracji rządowej osobom przybywającym
   do Rzeczypospolitej Polskiej, na podstawie wizy repatriacyjnej, pomocy,
   o której mowa w art. 10 ust. 4.
 2. Tryb udzielania pomocy przez organy samorządu terytorialnego określają 
   rady gmin."
1997_555_443,W jakim przypadku można wydać orzeczenie surowsze niż uchylone?,"Art. 443.
W razie przekazania sprawy do ponownego rozpoznania wolno w dalszym postępowaniu
wydać orzeczenie surowsze niż uchylone tylko wtedy, gdy orzeczenie
to było zaskarżone na niekorzyść oskarżonego. Nie dotyczy to orzekania o 
środkach wymienionych w art. 93 i 94 Kodeksu karnego."
1995_29_163,"Jakiej karze podlega osoba, która w lesie rozgarnia ściółkę?","Art. 163. Kto w lesie rozgarnia ściółkę i niszczy grzyby lub
             grzybnię,
                 podlega karze grzywny albo karze nagany."
1995_1_29,"O ile można maksymalnie pomniejszyć świadczenie dla bezrobotnego, któremu przyznano emeryturę lub rentę za okres, za który otrzymał zasiłek?","Art. 29.
 1. Bezrobotnemu, któremu przyznano prawo do emerytury lub renty za 
   okres, za który otrzymał zasiłek lub zasiłek szkoleniowy, Zakład Ubezpieczeń
   Społecznych wypłaca świadczenie pomniejszone o kwotę odpowiadającą
   wysokości wypłaconych temu bezrobotnemu za ten okres zasiłków i 
   przekazuje tę kwotę na konto Funduszu Pracy właściwego rejonowego 
   urzędu pracy.
 2. Kwota pomniejszenia, o której mowa w ust. 1, za okres pobierania zasiłku 
   nie może być wyższa niż przyznana za ten okres kwota emerytury lub renty."
1997_555_625,Jakie koszty sądowe pobiera się od żołnierza zawodowego w razie warunkowego umorzenia?,"Art. 625.
W razie skazania lub warunkowego umorzenia postępowania wobec żołnierza 
odbywającego zasadniczą służbę wojskową albo pełniącego służbę w charakterze
kandydata na żołnierza zawodowego, nie pobiera się od nich należnych 
Skarbowi Państwa kosztów sądowych."
1997_553_238,"Jakiej karze podlega ten, kto zawiadamia o przestępstwie, którego nie popełniono?","Art. 238.
Kto zawiadamia o przestępstwie organ powołany do ścigania wiedząc, że przestępstwa
nie popełniono,
        podlega grzywnie, karze ograniczenia wolności albo pozbawienia 
         wolności do lat 2."
2004_1807_61,Po jakim czasie można ponownie wnioskować o udzielenie koncesji po jej cofnięciu?,"Art. 61.
Przedsiębiorca, któremu cofnięto koncesję z przyczyn, o których mowa w art. 58
ust. 1 pkt 1 i ust. 2, może wystąpić z wnioskiem o ponowne udzielenie koncesji w
takim samym zakresie nie wcześniej niż po upływie 3 lat od dnia wydania decyzji
o cofnięciu koncesji."
2001_627_433,Ile maksymalnie mogą trwać negocjacje?,"Art. 433.
Negocjacje nie mogą trwać dłużej niż 2 miesiące od daty wyznaczenia pierwszego
posiedzenia negocjacyjnego."
1997_555_386,Jakie pytania może zadawać oskarżony podczas rozprawy?,"Art. 386.
 § 1. Po odczytaniu aktu oskarżenia przewodniczący poucza oskarżonego o 
     prawie składania wyjaśnień, odmowy wyjaśnień lub odpowiedzi na pytania,
     po czym pyta go, czy przyznaje się do zarzucanego mu czynu 
     oraz czy chce złożyć wyjaśnienia i jakie.
 § 2. Po przesłuchaniu oskarżonego przewodniczący poucza go o prawie zadawania
     pytań osobom przesłuchiwanym oraz składania wyjaśnień co 
     do każdego dowodu."
1994_195_246,Kto i w jakim terminie może wnieść sprzeciw od decyzji Urzędu Patentowego?,"Art. 246.
1. Każdy może wnieść umotywowany sprzeciw wobec prawomocnej decyzji Urzędu
  Patentowego o udzieleniu patentu, prawa ochronnego lub prawa z rejestracji w
  ciągu 6 miesięcy od opublikowania w ""Wiadomościach Urzędu Patentowego""
  informacji o udzieleniu prawa.
2. Podstawę sprzeciwu, o którym mowa w ust. 1, stanowią okoliczności, które
  uzasadniają unieważnienie patentu, prawa ochronnego lub prawa z rejestracji."
1997_164_11,Jakie opłaty wiążą się z przeniesieniem własności świadectwa rekompensacyjnego?,"Art. 11.
Przeniesienie własności świadectwa rekompensacyjnego jest wolne od opłaty 
skarbowej."
2000_991_13,Na jakich glebach nie można stosować nawozów naturalnych?,"Art. 13.
Zabrania się stosowania nawozów:
   1) na glebach zalanych wodą oraz przykrytych śniegiem lub
     zamarzniętych do głębokości 30 cm,
   2) naturalnych w postaci płynnej oraz azotowych na glebach bez
     okrywy roślinnej, położonych na stokach o nachyleniu
     większym niż 10%,
   3) naturalnych w postaci płynnej podczas wegetacji roślin
     przeznaczonych do bezpośredniego spożycia przez ludzi."
1998_602_186,Kto publikuje opracowanie statystyczne na temat wyników głosowania i wyborów?,"Art. 186.
Państwowa Komisja Wyborcza publikuje opracowanie statystyczne zawierające
szczegółowe informacje o wynikach głosowania i wynikach wyborów."
1997_153_135,Jaki procent przychodów stanowią odpisy z funduszu składkowego?,"Art. 135.
 1. Fundusz wyrównawczy jest przeznaczony na wyrównywanie różnic w przychodach
   pochodzących ze składek poszczególnych kas.
 2. Przychodami funduszu wyrównawczego są:
   1) odpisy z funduszu składkowego kasy w wysokości 10% przychodów, o 
     których mowa w art. 127 ust. 2 pkt 1,
   2) inne przychody.
 3. Wydatkami funduszu wyrównawczego są:
   1) dotacje wyrównawcze dla kas,
   2) odpisy na fundusze administracyjny i rezerwowy Krajowego Związku 
     Kas."
1996_402_8,Kto wchodzi w skład Rady Służby Cywilnej?,"Art. 8.
 1. Prezes Rady Ministrów powołuje członków Rady Służby Cywilnej spośród 
   osób odpowiadających warunkom określonym w art. 4 pkt 1-3 i 5, których 
   wiedza, doświadczenie i autorytet dają rękojmię prawidłowej realizacji zadań
   Rady. W skład Rady Służby Cywilnej wchodzą również przewodniczący
   komisji służby cywilnej.
 2. Urzędnicy służby cywilnej stanowią nie więcej niż 1/3 składu Rady.
 3. Rada wybiera ze swego grona przewodniczącego i wiceprzewodniczących 
   Rady."
1998_602_86,Ile głosów można oddać na jednego kandydata?,"Art. 86.
1. Radni są wybierani w okręgach wyborczych bezpośrednio spośród
  zgłoszonych kandydatów.
2. Na jednego kandydata wyborca może oddać tylko jeden głos."
2003_1873_130,Co uwzględnia wymiar czasu pracy obowiązujący pracownika?,"Art. 130. Obowiązujący pracownika wymiar czasu pracy w okresie
           rozliczeniowym, ustalony zgodnie z art. 129, stanowi iloczyn 8
           godzin i przypadającej w tym okresie liczby dni kalendarzowych, z
           wyłączeniem  niedziel, świąt i dni wolnych od pracy wynikających z
           rozkładu czasu pracy w pięciodniowym tygodniu pracy, z zastrzeżeniem
           przepisów art. 138 § 4."
2001_1353_23,Jakie obowiązki mają Żołnierze Żandarmerii Wojskowej w toku wykonywania czynności?,"Art. 23.
Żołnierze Żandarmerii Wojskowej w toku wykonywania czynności służbowych mają
obowiązek respektowania godności ludzkiej oraz przestrzegania i ochrony praw
człowieka, a także wykonywania tych czynności w sposób możliwie najmniej
naruszający dobra osobiste osoby, wobec której są podejmowane."
